sort_rank,recommendation_level,recommendation_score,title,source_no,new_pdf_filename,duplicate_note,venue_year,has_pdf,github_url
17,高,85,Interpretable Deep Learning in Single-Cell Omics,16,017_高_Interpretable_Deep_Learning_in_Single-Cell_Omics.pdf,,2024 / arXiv / review,yes,
18,高,85,BEiT: BERT Pre-Training of Image Transformers,17,018_高_BEiT_BERT_Pre-Training_of_Image_Transformers.pdf,,2022 / ICLR,yes,https://github.com/microsoft/unilm/tree/master/beit
19,高,85,"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",20,"019_高_data2vec_A_General_Framework_for_Self-supervised_Learning_in_Speech,_Vision_and_Language.pdf",,2022 / ICML,yes,https://github.com/facebookresearch/fairseq/tree/main/examples/data2vec
20,高,85,MultiMAE: Multi-modal Multi-task Masked Autoencoders,23,020_高_MultiMAE_Multi-modal_Multi-task_Masked_Autoencoders.pdf,,2022 / ECCV,yes,https://github.com/EPFL-VILAB/MultiMAE
21,高,85,AudioMAE: Masked Autoencoders that Listen,25,021_高_AudioMAE_Masked_Autoencoders_that_Listen.pdf,,2022 / NeurIPS,yes,https://github.com/facebookresearch/AudioMAE
22,高,85,I-JEPA: Self-Supervised Learning from Images with Joint-Embedding Predictive Architecture,26,022_高_I-JEPA_Self-Supervised_Learning_from_Images_with_Joint-Embedding_Predictive_Architecture.pdf,,2023 / CVPR,yes,https://github.com/facebookresearch/ijepa
23,高,85,MaskGIT: Masked Generative Image Transformer,29,023_高_MaskGIT_Masked_Generative_Image_Transformer.pdf,,2022 / CVPR,yes,https://github.com/google-research/maskgit
24,高,85,Flow Matching for Generative Modeling,33,024_高_Flow_Matching_for_Generative_Modeling.pdf,,2023 / ICLR,yes,https://github.com/atong01/conditional-flow-matching
25,高,85,Anomaly Transformer,37,025_高_Anomaly_Transformer.pdf,,2022 / ICLR,yes,https://github.com/thuml/Anomaly-Transformer
26,高,85,BGRL: Large-Scale Representation Learning on Graphs via Bootstrapping,38,026_高_BGRL_Large-Scale_Representation_Learning_on_Graphs_via_Bootstrapping.pdf,,2022 / ICLR,yes,https://github.com/nerdslab/bgrl
27,高,85,Graph Barlow Twins,40,027_高_Graph_Barlow_Twins.pdf,,2022 / Knowledge-Based Systems,yes,https://github.com/pbielak/graph-barlow-twins
28,高,85,Graphormer,42,028_高_Graphormer.pdf,,2021 / NeurIPS,yes,https://github.com/microsoft/Graphormer
29,高,85,Deep Adaptive Fuzzy Clustering for Evolutionary Unsupervised Representation Learning,45,029_高_Deep_Adaptive_Fuzzy_Clustering_for_Evolutionary_Unsupervised_Representation_Learning.pdf,,2021 / arXiv / pattern recognition,yes,
30,高,85,Fuzzy Rough Sets Based on Fuzzy Quantification,46,030_高_Fuzzy_Rough_Sets_Based_on_Fuzzy_Quantification.pdf,,2023 / Fuzzy Sets and Systems,yes,
31,中高/可用,72,scPilot: Large Language Model Reasoning Toward Automated Single-Cell Analysis and Discovery,8,031_中高_可用_scPilot_Large_Language_Model_Reasoning_Toward_Automated_Single-Cell_Analysis_and_Discovery.pdf,,2026 / arXiv / OpenReview,yes,https://github.com/maitrix-org/scPilot
32,中高/可用,72,ChatCell: Natural Language Interface for Single-Cell Analysis,11,032_中高_可用_ChatCell_Natural_Language_Interface_for_Single-Cell_Analysis.pdf,,2024 / arXiv,yes,https://github.com/zjunlp/ChatCell
33,中高/可用,72,iBOT: Image BERT Pre-Training with Online Tokenizer,21,033_中高_可用_iBOT_Image_BERT_Pre-Training_with_Online_Tokenizer.pdf,,2022 / ICLR,yes,https://github.com/bytedance/ibot
34,中高/可用,72,Masked Siamese Networks for Label-Efficient Learning,22,034_中高_可用_Masked_Siamese_Networks_for_Label-Efficient_Learning.pdf,,2022 / ECCV,yes,https://github.com/facebookresearch/msn
35,中高/可用,72,VideoMAE: Masked Autoencoders are Data-Efficient Learners for Self-Supervised Video Pre-Training,24,035_中高_可用_VideoMAE_Masked_Autoencoders_are_Data-Efficient_Learners_for_Self-Supervised_Video_Pre-Training.pdf,,2022 / NeurIPS,yes,https://github.com/MCG-NJU/VideoMAE
36,中高/可用,72,DINOv2: Learning Robust Visual Features without Supervision,27,036_中高_可用_DINOv2_Learning_Robust_Visual_Features_without_Supervision.pdf,,2023 / arXiv / CV foundation model,yes,https://github.com/facebookresearch/dinov2
37,中高/可用,72,ImageBind: One Embedding Space To Bind Them All,28,037_中高_可用_ImageBind_One_Embedding_Space_To_Bind_Them_All.pdf,,2023 / CVPR,yes,https://github.com/facebookresearch/ImageBind
38,中高/可用,72,Latent Diffusion Models,30,038_中高_可用_Latent_Diffusion_Models.pdf,,2022 / CVPR,yes,https://github.com/CompVis/latent-diffusion
39,中高/可用,72,TS2Vec: Towards Universal Representation of Time Series,34,039_中高_可用_TS2Vec_Towards_Universal_Representation_of_Time_Series.pdf,,2022 / AAAI,yes,https://github.com/yuezhihan/ts2vec
40,中高/可用,72,TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis,35,040_中高_可用_TimesNet_Temporal_2D-Variation_Modeling_for_General_Time_Series_Analysis.pdf,,2023 / ICLR,yes,https://github.com/thuml/TimesNet
41,中高/可用,72,Non-stationary Transformers,36,041_中高_可用_Non-stationary_Transformers.pdf,,2022 / NeurIPS,yes,https://github.com/thuml/Nonstationary_Transformers
42,中高/可用,72,MaskGAE: Masked Graph Modeling Meets Graph Autoencoders,39,042_中高_可用_MaskGAE_Masked_Graph_Modeling_Meets_Graph_Autoencoders.pdf,,2023 / KDD,yes,https://github.com/EdisonLeeeee/MaskGAE
43,中高/可用,72,GraphGPS: General Powerful Scalable Graph Transformers,41,043_中高_可用_GraphGPS_General_Powerful_Scalable_Graph_Transformers.pdf,,2022 / NeurIPS,yes,https://github.com/rampasek/GraphGPS
44,中高/可用,72,Mole-BERT: Rethinking Pre-training Graph Neural Networks for Molecules,43,044_中高_可用_Mole-BERT_Rethinking_Pre-training_Graph_Neural_Networks_for_Molecules.pdf,,2023 / ICLR,yes,https://github.com/junxia97/Mole-BERT
45,中高/可用,72,SAINT: Improved Neural Networks for Tabular Data via Row Attention and Contrastive Pre-training,47,045_中高_可用_SAINT_Improved_Neural_Networks_for_Tabular_Data_via_Row_Attention_and_Contrastive_Pre-training.pdf,,2021 / NeurIPS Workshop,yes,https://github.com/somepago/saint
46,中高/可用,72,TabPFN: A Transformer That Solves Small Tabular Classification Problems in a Second,49,046_中高_可用_TabPFN_A_Transformer_That_Solves_Small_Tabular_Classification_Problems_in_a_Second.pdf,,2023 / ICLR,yes,https://github.com/automl/TabPFN
47,可用,70,Self-Guided Masked Autoencoder,2,047_可用_Self-Guided_Masked_Autoencoder.pdf,,2024 / NeurIPS,yes,https://github.com/hustvl/Self-Guided-MAE
48,可用,70,Masked Autoencoders Are Scalable Vision Learners,3,048_可用_Masked_Autoencoders_Are_Scalable_Vision_Learners.pdf,合并 2 条来源记录；包含 2 个PDF哈希。,2022 / CVPR,yes,https://github.com/facebookresearch/mae
48,可用,70,Masked Autoencoders Are Scalable Vision Learners,3,048_可用_Masked_Autoencoders_Are_Scalable_Vision_Learners.pdf,合并 2 条来源记录；包含 2 个PDF哈希。,CVPR 2022,yes,https://github.com/facebookresearch/mae
49,可用,70,Adaptive-Masking Policy with Deep Reinforcement Learning for Self-Supervised Medical Image Segmentation,4,049_可用_Adaptive-Masking_Policy_with_Deep_Reinforcement_Learning_for_Self-Supervised_Medical_Image_Segmentation.pdf,,2023 / ICME,yes,
50,可用,70,The Dynamic Duo of Collaborative Masking and Target for Advanced Masked Autoencoder Learning,6,050_可用_The_Dynamic_Duo_of_Collaborative_Masking_and_Target_for_Advanced_Masked_Autoencoder_Learning.pdf,,2025 / AAAI,yes,
51,可用,70,Reinforcement Learning meets Masked Video Modeling: Trajectory-Guided Adaptive Token Selection,7,051_可用_Reinforcement_Learning_meets_Masked_Video_Modeling_Trajectory-Guided_Adaptive_Token_Selection.pdf,,2025 / arXiv,yes,
52,可用,70,Anatomically-guided Masked Autoencoder with Domain-Adaptive Prompting for multimodal cerebral aneurysm detection and segmentation,8,052_可用_Anatomically-guided_Masked_Autoencoder_with_Domain-Adaptive_Prompting_for_multimodal_cerebral_aneurysm_detection_and_segmentation.pdf,,2026 / npj Digital Medicine,yes,
53,可用,70,DAP-MAE: Domain-Adaptive Point Cloud Masked Autoencoder for Effective Cross-Domain Learning,9,053_可用_DAP-MAE_Domain-Adaptive_Point_Cloud_Masked_Autoencoder_for_Effective_Cross-Domain_Learning.pdf,,2025 / arXiv,yes,https://github.com/CVI-SZU/DAP-MAE
54,可用,70,An Empirical Study of Multiple Masking in Masked Autoencoder / Conditional MAE,11,054_可用_An_Empirical_Study_of_Multiple_Masking_in_Masked_Autoencoder_Conditional_MAE.pdf,,2025 / OpenReview/withdrawn,yes,
55,可用,70,Multi-Facet Clustering Variational Autoencoders,12,055_可用_Multi-Facet_Clustering_Variational_Autoencoders.pdf,,2021 / NeurIPS,yes,https://github.com/FabianFalck/mfcvae
56,可用,70,ScInfoVAE: interpretable dimensional reduction of single cell transcription data with variational autoencoders and extended mutual information regularization,14,056_可用_ScInfoVAE_interpretable_dimensional_reduction_of_single_cell_transcription_data_with_variational_autoencoders_and_extended_mutual.pdf,,2023 / BioData Mining,yes,
57,可用,70,scVAEDer: integrating deep diffusion models and variational autoencoders for single-cell transcriptomics analysis,15,057_可用_scVAEDer_integrating_deep_diffusion_models_and_variational_autoencoders_for_single-cell_transcriptomics_analysis.pdf,,2025 / Genome Biology,yes,https://github.com/MehrshadSD/scVAEDer
58,可用,70,Gene selection for single cell RNA-seq data via fuzzy rough iterative computation model,16,058_可用_Gene_selection_for_single_cell_RNA-seq_data_via_fuzzy_rough_iterative_computation_model.pdf,,2025 / Artificial Intelligence Review,yes,
59,可用,70,Soft Graph Clustering for single-cell RNA Sequencing Data,17,059_可用_Soft_Graph_Clustering_for_single-cell_RNA_Sequencing_Data.pdf,,2025 / arXiv/BMC Bioinformatics,yes,https://github.com/seandavi/awesome-single-cell
60,可用,70,q-Diffusion leverages the full dimensionality of gene coexpression in single-cell transcriptomics,18,060_可用_q-Diffusion_leverages_the_full_dimensionality_of_gene_coexpression_in_single-cell_transcriptomics.pdf,,2024 / Communications Biology,yes,https://github.com/marmarelis/QDiffusion.jl
61,可用,70,scDiffusion: conditional generation of high-quality single-cell data using diffusion model,19,061_可用_scDiffusion_conditional_generation_of_high-quality_single-cell_data_using_diffusion_model.pdf,,2024 / Bioinformatics/arXiv,yes,https://github.com/EperLuo/scDiffusion
62,可用,70,Scalable Single-Cell Gene Expression Generation with Latent Diffusion Models,20,062_可用_Scalable_Single-Cell_Gene_Expression_Generation_with_Latent_Diffusion_Models.pdf,,2025/2026 / arXiv,yes,https://github.com/czi-ai/scldm
63,可用,70,Attention-Guided Probabilistic Diffusion Model for Generating Cell-Type-Specific Gene Regulatory Networks from Gene Expression Profiles,21,063_可用_Attention-Guided_Probabilistic_Diffusion_Model_for_Generating_Cell-Type-Specific_Gene_Regulatory_Networks_from_Gene_Expression_Pro.pdf,,2025 / Genes,yes,
64,可用,70,GRouNdGAN: GRN-guided simulation of single-cell RNA-seq data using causal generative adversarial networks,22,064_可用_GRouNdGAN_GRN-guided_simulation_of_single-cell_RNA-seq_data_using_causal_generative_adversarial_networks.pdf,,2024 / Nature Communications,yes,https://github.com/Emad-COMBINE-lab/GRouNdGAN
65,可用,70,Realistic in silico generation and augmentation of single-cell RNA-seq data using generative adversarial networks,23,065_可用_Realistic_in_silico_generation_and_augmentation_of_single-cell_RNA-seq_data_using_generative_adversarial_networks.pdf,,2020 / Nature Communications,yes,https://github.com/imsb-uke/scGAN
66,可用,70,scVGATAE: A Variational Graph Attentional Autoencoder Model for Clustering Single-Cell RNA-seq Data,24,066_可用_scVGATAE_A_Variational_Graph_Attentional_Autoencoder_Model_for_Clustering_Single-Cell_RNA-seq_Data.pdf,,2024 / Biology,yes,
67,可用,70,scSiameseClu: A Siamese Clustering Framework for Interpreting Single-cell RNA Sequencing Data,28,067_可用_scSiameseClu_A_Siamese_Clustering_Framework_for_Interpreting_Single-cell_RNA_Sequencing_Data.pdf,,2025 / IJCAI,yes,https://github.com/XPgogogo/scSiameseClu
68,可用,70,Deep single-cell RNA-seq data clustering with graph prototypical contrastive learning,29,068_可用_Deep_single-cell_RNA-seq_data_clustering_with_graph_prototypical_contrastive_learning.pdf,,2023 / Bioinformatics / ICML CompBio,yes,https://github.com/Junseok0207/scGPCL
69,可用,70,IGCLAPS: an interpretable graph contrastive learning method with adaptive positive sampling for scRNA-seq data analysis,30,069_可用_IGCLAPS_an_interpretable_graph_contrastive_learning_method_with_adaptive_positive_sampling_for_scRNA-seq_data_analysis.pdf,,2025 / Bioinformatics,yes,https://github.com/ZhengWeihuaYNU/IGCLAPS
70,可用,70,Deep clustering of single-cell RNA-seq using adversarial graph contrastive learning,31,070_可用_Deep_clustering_of_single-cell_RNA-seq_using_adversarial_graph_contrastive_learning.pdf,,2025 / Briefings in Bioinformatics,yes,https://github.com/levinhcntt/scAGCL
71,可用,70,scCAN: single-cell clustering using autoencoder and network fusion,37,071_可用_scCAN_single-cell_clustering_using_autoencoder_and_network_fusion.pdf,,2022 / Scientific Reports,yes,https://github.com/cran/scCAN
72,可用,70,scASDC: Attention Enhanced Structural Deep Clustering for Single-cell RNA-seq Data,38,072_可用_scASDC_Attention_Enhanced_Structural_Deep_Clustering_for_Single-cell_RNA-seq_Data.pdf,,2024 / arXiv,yes,https://github.com/wenwenmin/scASDC
73,可用,70,Attention-based deep clustering method for scRNA-seq cell type identification,39,073_可用_Attention-based_deep_clustering_method_for_scRNA-seq_cell_type_identification.pdf,合并 2 条来源记录；包含 1 个PDF哈希。,2023 / PLOS Computational Biology,yes,https://github.com/ttgump/AttentionAE-sc
73,可用,70,Attention-based deep clustering method for scRNA-seq cell type identification,13,073_可用_Attention-based_deep_clustering_method_for_scRNA-seq_cell_type_identification.pdf,合并 2 条来源记录；包含 1 个PDF哈希。,PLoS Computational Biology 2023,yes,https://github.com/ttgump/AttentionAE-sc
74,可用,70,Boosting scRNA-seq data clustering by cluster-aware feature weighting,40,074_可用_Boosting_scRNA-seq_data_clustering_by_cluster-aware_feature_weighting.pdf,,2021 / BMC Bioinformatics,yes,https://github.com/LiRuiyi-raptor/CaFew_Project
75,可用,70,scGTN: Deep Siamese Graph Transformer Network for Single-cell RNA Sequencing Clustering,42,075_可用_scGTN_Deep_Siamese_Graph_Transformer_Network_for_Single-cell_RNA_Sequencing_Clustering.pdf,,2026 / arXiv,yes,
76,可用,70,scGraphformer: unveiling cellular heterogeneity and interactions in scRNA-seq data using a scalable graph transformer network,45,076_可用_scGraphformer_unveiling_cellular_heterogeneity_and_interactions_in_scRNA-seq_data_using_a_scalable_graph_transformer_network.pdf,,2024 / Communications Biology,yes,https://github.com/xyfan22/scGraphformer
77,可用,70,scNET: learning context-specific gene and cell embeddings by integrating single-cell gene expression data with protein-protein interactions,46,077_可用_scNET_learning_context-specific_gene_and_cell_embeddings_by_integrating_single-cell_gene_expression_data_with_protein-protein_inte.pdf,,2025 / Nature Methods,yes,https://github.com/madilabcode/scNET
78,可用,70,scLong: a billion-parameter foundation model for capturing long-range gene context in single-cell transcriptomics,47,078_可用_scLong_a_billion-parameter_foundation_model_for_capturing_long-range_gene_context_in_single-cell_transcriptomics.pdf,,2026 / Nature Communications,yes,https://github.com/BaiDing1234/scLong
79,可用,70,scHNTL: single-cell RNA-seq data clustering augmented by high-order neighbors and triplet loss,48,079_可用_scHNTL_single-cell_RNA-seq_data_clustering_augmented_by_high-order_neighbors_and_triplet_loss.pdf,,2025 / Bioinformatics,yes,https://github.com/SWJTU-ML/scHNTL-code
80,可用,70,M-band wavelet-based multi-view clustering of cells,49,080_可用_M-band_wavelet-based_multi-view_clustering_of_cells.pdf,,2025 / PLOS Computational Biology,yes,
81,谨慎/部分可用,55,OKR-CELL: Open-world Language Knowledge-Aided Robust Single-Cell Foundation Model,7,081_谨慎_部分可用_OKR-CELL_Open-world_Language_Knowledge-Aided_Robust_Single-Cell_Foundation_Model.pdf,,2026 / arXiv / bioRxiv withdrawn version noted,yes,
82,谨慎/部分可用,55,DiT: Scalable Diffusion Models with Transformers,31,082_谨慎_部分可用_DiT_Scalable_Diffusion_Models_with_Transformers.pdf,,2023 / ICCV,yes,https://github.com/facebookresearch/DiT
83,未明确,50,scGNN is a novel graph neural network framework for single-cell RNA-Seq analyses,44,083_未明确_scGNN_is_a_novel_graph_neural_network_framework_for_single-cell_RNA-seq_analyses.pdf,合并 2 条来源记录；包含 1 个PDF哈希。,2021 / Nature Communications,yes,https://github.com/juexinwang/scGNN
83,未明确,50,scGNN is a novel graph neural network framework for single-cell RNA-seq analyses,10,083_未明确_scGNN_is_a_novel_graph_neural_network_framework_for_single-cell_RNA-seq_analyses.pdf,合并 2 条来源记录；包含 1 个PDF哈希。,Nature Communications 2021,yes,https://github.com/juexinwang/scGNN
84,未明确,50,Unsupervised Deep Embedding for Clustering Analysis,1,084_未明确_Unsupervised_Deep_Embedding_for_Clustering_Analysis.pdf,,ICML 2016,yes,https://github.com/piiswrong/dec
85,未明确,50,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,4,085_未明确_BERT_Pre-training_of_Deep_Bidirectional_Transformers_for_Language_Understanding.pdf,,NAACL 2019,yes,https://github.com/google-research/bert
86,未明确,50,A Simple Framework for Contrastive Learning of Visual Representations,5,086_未明确_A_Simple_Framework_for_Contrastive_Learning_of_Visual_Representations.pdf,,ICML 2020,yes,https://github.com/google-research/simclr
87,未明确,50,Bootstrap Your Own Latent: A New Approach to Self-Supervised Learning,6,087_未明确_Bootstrap_Your_Own_Latent_A_New_Approach_to_Self-Supervised_Learning.pdf,,NeurIPS 2020,yes,https://github.com/deepmind/deepmind-research/tree/master/byol
88,未明确,50,Emerging Properties in Self-Supervised Vision Transformers,7,088_未明确_Emerging_Properties_in_Self-Supervised_Vision_Transformers.pdf,,ICCV 2021,yes,https://github.com/facebookresearch/dino
89,未明确,50,scziDesk: deep soft K-means clustering with self-training,8,089_未明确_scziDesk_deep_soft_K-means_clustering_with_self-training.pdf,,NAR Genomics and Bioinformatics 2020,yes,https://github.com/xuebaliang/scziDesk
90,未明确,50,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,9,090_未明确_ELECTRA_Pre-training_Text_Encoders_as_Discriminators_Rather_Than_Generators.pdf,,ICLR 2020,yes,https://github.com/google-research/electra
91,未明确,50,GraphMAE: Self-Supervised Masked Graph Autoencoders,11,091_未明确_GraphMAE_Self-Supervised_Masked_Graph_Autoencoders.pdf,,KDD 2022,yes,https://github.com/THUDM/GraphMAE
92,未明确,50,scDSC: Deep structural clustering jointly through autoencoder and GNN,12,092_未明确_scDSC_Deep_structural_clustering_jointly_through_autoencoder_and_GNN.pdf,,Briefings in Bioinformatics 2022,yes,https://github.com/DHUDBlab/scDSC
93,未明确,50,GraphMAE2: A Decoding-Enhanced Masked Self-Supervised Graph Learner,14,093_未明确_GraphMAE2_A_Decoding-Enhanced_Masked_Self-Supervised_Graph_Learner.pdf,,WWW 2023,yes,https://github.com/THUDM/GraphMAE2
94,未明确,50,Graph Contrastive Learning with Augmentations,15,094_未明确_Graph_Contrastive_Learning_with_Augmentations.pdf,,NeurIPS 2020,yes,https://github.com/Shen-Lab/GraphCL
95,未明确,50,scCDCG: Deep Cut-informed Graph Embedding for scRNA-seq clustering,16,095_未明确_scCDCG_Deep_Cut-informed_Graph_Embedding_for_scRNA-seq_clustering.pdf,,Recent preprint/relevant scRNA method,yes,https://github.com/XPgogogo/scCDCG
96,未明确,50,From Louvain to Leiden: guaranteeing well-connected communities,19,096_未明确_From_Louvain_to_Leiden_guaranteeing_well-connected_communities.pdf,,Scientific Reports 2019,yes,https://github.com/vtraag/leidenalg
97,未明确,50,Comprehensive integration of single-cell data,20,097_未明确_Comprehensive_integration_of_single-cell_data.pdf,,Cell 2019 / preprint,yes,https://github.com/seandavi/awesome-single-cell
98,未明确,50,Graph Attention Networks,21,098_未明确_Graph_Attention_Networks.pdf,,ICLR 2018,yes,https://github.com/PetarV-/GAT
99,未明确,50,DropEdge: Towards Deep Graph Convolutional Networks on Node Classification,22,099_未明确_DropEdge_Towards_Deep_Graph_Convolutional_Networks_on_Node_Classification.pdf,,ICLR 2020,yes,https://github.com/DropEdge/DropEdge
100,未明确,50,Denoising Diffusion Probabilistic Models,23,100_未明确_Denoising_Diffusion_Probabilistic_Models.pdf,,NeurIPS 2020,yes,https://github.com/hojonathanho/diffusion
101,未明确,50,Neural Discrete Representation Learning,24,101_未明确_Neural_Discrete_Representation_Learning.pdf,,NeurIPS 2017,yes,https://github.com/deepmind/sonnet/blob/v1/sonnet/python/modules/nets/vqvae.py
102,未明确,50,mixup: Beyond Empirical Risk Minimization,25,102_未明确_mixup_Beyond_Empirical_Risk_Minimization.pdf,,ICLR 2018,yes,https://github.com/facebookresearch/mixup-cifar10
103,未明确,50,AutoAugment: Learning Augmentation Strategies from Data,26,103_未明确_AutoAugment_Learning_Augmentation_Strategies_from_Data.pdf,,CVPR 2019,yes,https://github.com/tensorflow/models/tree/master/research/autoaugment
104,未明确,50,VIME: Extending the Success of Self- and Semi-supervised Learning to Tabular Domain,27,104_未明确_VIME_Extending_the_Success_of_Self-_and_Semi-supervised_Learning_to_Tabular_Domain.pdf,,NeurIPS 2020,yes,https://github.com/jsyoon0823/VIME
105,未明确,50,Deep generative modeling for single-cell transcriptomics,28,105_未明确_Deep_generative_modeling_for_single-cell_transcriptomics.pdf,,Nature Methods 2018,yes,https://github.com/scverse/scvi-tools
106,未明确,50,Score-Based Generative Modeling through Stochastic Differential Equations,29,106_未明确_Score-Based_Generative_Modeling_through_Stochastic_Differential_Equations.pdf,,ICLR 2021,yes,https://github.com/yang-song/score_sde
107,未明确,50,TabNet: Attentive Interpretable Tabular Learning,30,107_未明确_TabNet_Attentive_Interpretable_Tabular_Learning.pdf,,AAAI 2021,yes,https://github.com/google-research/google-research/tree/master/tabnet
108,基线/背景,25,SimMIM: A Simple Framework for Masked Image Modeling,18,108_基线_背景_SimMIM_A_Simple_Framework_for_Masked_Image_Modeling.pdf,,2022 / CVPR,yes,https://github.com/microsoft/SimMIM
109,基线/背景,25,Revisiting Deep Learning Models for Tabular Data / FT-Transformer,48,109_基线_背景_Revisiting_Deep_Learning_Models_for_Tabular_Data_FT-Transformer.pdf,,2021 / NeurIPS,yes,https://github.com/yandex-research/rtdl-revisiting-models
110,基线/背景,25,AdaMAE: Adaptive Masking for Efficient Spatiotemporal Learning with Masked Autoencoders,5,110_基线_背景_AdaMAE_Adaptive_Masking_for_Efficient_Spatiotemporal_Learning_with_Masked_Autoencoders.pdf,,2023 / CVPR,yes,https://github.com/wgcban/adamae
111,基线/背景,25,scMAE: a masked autoencoder for single-cell RNA-seq clustering,2,111_基线_背景_scMAE_a_masked_autoencoder_for_single-cell_RNA-seq_clustering.pdf,,Bioinformatics 2024,yes,
112,基线/背景,25,SC3: consensus clustering of single-cell RNA-seq data,17,112_基线_背景_SC3_consensus_clustering_of_single-cell_RNA-seq_data.pdf,,Nature Methods 2017,yes,https://github.com/hemberg-lab/SC3
113,基线/背景,25,Fast unfolding of communities in large networks,18,113_基线_背景_Fast_unfolding_of_communities_in_large_networks.pdf,,J. Stat. Mech. 2008,yes,
,基线/背景,25,scMAE: a masked autoencoder for single-cell RNA-seq clustering,1,,有建议但缺少PDF,2024 / Bioinformatics,no,
,可用,70,Variational Masked AutoEncoder topic / related work cluster,10,,有建议但缺少PDF,2026 / topic/various,no,
,未明确,50,scVAE: variational auto-encoders for single-cell gene expression data,13,,有建议但缺少PDF,2020 / Bioinformatics,no,https://github.com/scvae/scvae
,可用,70,scGAC: a graph attentional architecture for clustering single-cell RNA-seq data,25,,有建议但缺少PDF,2022 / Bioinformatics,no,https://github.com/Joye9285/scGAC
